Accursed Jerkin	Darkspire Punisher
Stabilizing Boots	Scrap Welder
Stabilizing Pocket Watch	Reality Rift
Staff of Defiance	Defiant Totemist
Staff of Ice	Hoarfrost Magus
Staff of Oberon	Oberon's Eulogy
Staff of the Brood Priest	Phenteo the Brood Priest
Staff of the Orchin	Orchi-noko
Stainless Steel Popper	Replipopper 4000
Stalactunic	Stalagmage
Stalker's Blood Boots	Stalker of Marbaras
Stallion Plate	Spearcliff Cavalier
Stance Shoes	Sacred Stance
Standard Issue Helmet	Underworld Reinforcements
Standard Issue Stompers	Underworld Reinforcements
Star Woven Robes	Startouched Watcher
Stardust Vial	Zodiac Crowfeather
Starlight Grips	Starlight Shaman
Starmend Moccasins	Wakuna Starmender
Starmender's War Bonnet	Wakuna Starmender
Staunch Breastplate	Devout Crusader
Steady Eddy Boots	Tidal Eddy
Steam Engine Inspectacles	Mimeobot
Steed Whip	Blight Steed
Steel Treads	Form Ranks
Stifling Handwraps	Stifling Sting
Stinger of Mutation	Nox Animist
Stink Blade	Stinkhorn Soup
Stink Boots	Stink Troll
Stolen Crown	Fiendish Cabalist
Stompers of Calamitous Intent	Walking Calamity
Stopgap Brainwasher	Neophyte of Xarlox
Stormcoat	Storm of the Century
Stormstrike Gauntlets	Cerulean Sky Mage
Stormwing Breastplate	Stargazer
Suede Shockers	Pulse Reactor
Suffocating Choker	Suffocate
Sultry Shell	Heat Wave
Summoner's Hauberk	Darad, the Scourgeblade
Sun Song Jersey	Song of the Sun
Sunlit Scribe	Sunlit Sentence
Sunset Cap	Sunset Shade
Sure Shot Coat	Shellsafe Sure Shot
Surge Boots	Withering Touch
Surge Plate	Deadeye Charger
Surging Fur Coat	Surging Squirrel Titan
Surging Steel Blade	Surging Squirrel Titan
Surly Slippers	Surly Brawler
Swamp Walkers	Bog Walker
Swarm Strapped Steppers	Piranha Swarm
Swarming Fingers	Nibblin Swarm
Swashbuckler's Foil	Reginald Lancashire
Sweep Cleats	Broom Bot
Sweet Duster	Brewmaster Buzzlebeard
Sweet Hat	Gnome Wayfarer
Swift Breeze Visor	Vanguard of Cerulea
Swift Slicer	Deadeye Slicer
Sword of Sapphires	Storm Colossus
Sworddancer's Limp	Buccaneer
Sylvan Sounder	Sylvan Performer
Sylvan Storm Slippers	Sylvan Springs
System of Nulzann	Animus of Nulzann
Tabard of Lyvaanth	Lyvaanth's Claw
Tablet of the Revenant	Call the Grave
Tabula Rasa	Locke of the Pack
Tainted Teacup	Polyberry Pouch
Talisman of Juurdin	Juurdin
Tanko of Terror	Sora
Tanned Piglet Vest	Feral Squeaker
Tantalizing Tiara	Tantalizing Naiad
Targe of Darkness	Night Warden
Tarot Handlers	Cartomancy
Taskmaster Blade	Fungal Monstrosity
Technografters Boots	Arcanograft Technician
Telepath's Helm	Mind Games
Temporal Treads	Temporal Exile
Ten-Zinnia Tincture	Darkfall Patriarch
Tenacious Katana	Nori
Tender Green Gloves	The Buffalord
Tentacled Fingers	Slithering Marauder
Terror Tined Tunic	Phenteo's Gift
Terror Touched Blade	Phenteo's Gift
The Arthropod's Cube	Giant Army Ants
The Calling Blade	Pack Raptor
The Decapitator	Gruesome Deed
The Dingler's Hood	Polymorph: Dingler
The Goldfather's Ring	Shamrock, The Goldfather
The Guillotine	Execute
The Harbinger	Malice Demon
The Infiltrator	Infiltrate
The Manipulator's Mantle	Uruunaz
The Mirrorblade	Replicator's Gambit
The Nimomancer's Cloak	Nimomancer
The Null Veil	Void Star's Gaze
The Randomly Sorting Hat	Apprentice Trio
The Spider's Lure	Brood Creeper
The Storm Icon	Stargazer
The White Heart	Diamond Aura
Thicket Creepers	Bramble Creeper
Thistlecloak	Bramble Creeper
Thorn Emblazoned Gauntlets	Herald of Thorns
Thorn Knuckler	Thornsprout
Thorn Quiver	Vine Lash
Thorntwist Thumb	Thorntwister
Thorntwisted Crown	Blightbush
Thornweaved Tunic	Thorn Weaver
Thought Accelerator	Junk Repurposer
Thought Enhancer	Mind Games
Thought Provoker	Epiphany
Thought Seeker	Flamethought Seeker
Three-Fingered Gloves	Forgotten Triolith
Throwback Jersey	Throwback
Thug Topper	Surprise Runt Gang
Thunderbolt Helm	Thunderbolt Warden
Thundering Bow	Menacing Gralk
Thunderstrike Chestguard	Thunderbird
Tiaanost's Raiments	Grace of Tiaanost
Tiara of Visions	Elder of Visions
Tidal Boots	Crackling Tide
Tide Galoshes	Hardshell Guardclaw
Timepiercing Javelin	Time Ripple
Timescale Breakers	Twilight Eclipse
Timophy's Gameboard	Kismet's Dice
Tinker Fingers	Restless Fabricator
Tinkerer's Robes	War Machinist
Titan's Jar	Titan of Voktar
Toad Juice	Dire Toad
Tomb Rot Boots	Force of the Tomb
Tomb Waders	Voice of Tombs
Tombskin Hands	Sealed Tomb
Tome of the Vision Quest	Vision Quest
Tome of the Warden	Zakiir
Toolbox Glove	Junk Repurposer
Tormenting Boots	Crackling Torment
Tormentor's Spear	Hatchery Tormentor
Torrential Trodders	Hailstorm
Totem Crush Maul	Mesa Totemist
Touch of Grace	Her Majesty, Queen Grace
Touretic Rune Raiment	Runefusion
Toxic Whip	Scourgecrag Witch
Training Vest	Born to Die
Transonic Screwdriver	Hex Engine
Trapper Grips	Vine Trap
Traveling Slippers	Lord Bernard P. Dunthorpe
Treads of Advent Dawn	Daybreak
Treads of Degradation	Rot Caster
Treads of Frost	Frostmare
Treads of the Exalted	Exalted Knight
Treeguard Barkplate	Nelebrin Treeguard
Trench Knife	Deathmask Ravager
Tribal Warcaller	Tribal Warfare
Trickster's Gloves	Prospero, Sylvan Enchanter
Trinket of Duty	Glyph of Duty
Trinket of Ferocity	Glyph of Ferocity
Trinket of Hatred	Glyph of Hatred
Trinket of Primordium	Glyph of Primordium
Trinket of Sky	Glyph of Sky
Troika Blades	Forgotten Triolith
Troll Headcover	Puke Troll
Trunk of the Wild Ancient	Lumbering Sparklespore
Tunic of the Conjuror	Briarpatch Conjuror
Turbine Gloves	Dwarven Turbine
Turgid Gloves	Growth Potion
Turn Signal	Wrong Turn
Turtle Shell Bulwark	Dream Turtle
Twilight Crown	Twilight Archon
Twilight Scaled Greaves	Scales of Twilight
Twilight Scout Gloves	Twilight Scout
Twilight Visor	Twilight Watcher
Twin Feather Hands	Royal Stork
Twinkle Twinkle Little Star	Lullaby
Twisted Shuriken	Crackling Bolt
Ugly Sweater	Pappy Jasper
Umbra Gauntlets	Umbral Guard
Umbrella of the Cloud King	Cloud King
Underworld Hacker	Underworld Crusader
Unflinching Breaker	Bucktooth Commander
Unfortunate Inheritance	Righteous Heir
Unhenged Haurberk	Unhenge
Unholy Aegis	Deepgaze Champion
Universal Lexicon	
Unliving End	Bitter Dread
Unnecessary Extra Armament	Mega-Bot 9000
Unowned Boots	Eldritch Shriek
Unstable Induction Rapier	Inductocopter Bot
Vampire's Crown	Vampire Princess
Vampiric Blessing	Cleave
Vampiric Cape	Enthralling Gaze
Vandal Blast Bracers	Vandalize
Vanguard's Gloves	Nelebrin Vanguard
Vaporizer	Evaporate
Veil of Fortune	Cartomancy
Veiled Chestguard	Veiled Lurker
Venom Blade	Rizzix
Venom Boots	Brood Creeper
Venomous Cleaver	Dark Pact Demon
Verdant Blade	Verdant Chant
Vest of Fecundity	Rotting Buffalo
Vest of the Ruminant	Dream Stag
Vestments of Acumen	Mindcaller
Vestments of Atonement	Angel of Atonement
Veteran's Halberd	Veteran Raider
Vial of Dragon's Blood	Tome of Uruunaz
Vial of Fecundity	Fertile Engorger
Vial of Weak Sauce	Cull the Weak
Victim's Memento	Drag to the Depths
Vile Defender Chestcage	Vilestrain Cultivator
Vile Mask	Defiler of the Fallen
Vile Stompers	Vilefang Eremite
Viridian Footwear	Viridian
Visage of the Brood	Wretched Brood
Visor of the Gatekeeper	Sophro's Gatekeeper
Voidstone Blade	Chaotic Rip
Voltaic Handguards	Charge Bot
Voltdealer Dirk	Voltwrench
Voodoo Vest	Corrupted Afterlife
Voyagers Grips	Nameless Pact
Vulture Claw	Zombie Vulture
Wand of Privilege	Noble Citizenry
Wand of Webulation	Woeful Webbing
Warden's Ward	Moonwarden
Warding Wand	Brilliant Ward
Warforged Battleplate	Warforged Slayer
Warforged Spear	Warforged Slayer
Warglaive of Light	Lux Guard
Warhammer of Smiting	Militant Paladin
Warlock's Footsteps	Blades of Bone
Warlock's Whip	Swampwater Recluse
Warm Spellbox	Volley
Warp Gloves	Time Wave
Warp Pebble	Warp Stone
Warped Boots	Warp Stone
Waste Bin	Sweep Away
Watch of the Witching Hour	Midnight Hour
Wax Doffed Cap	Wax Dawn
Waxed Warplate	Lumiknight
Waxed Wingtips	Lyvaanth
Weapon of Choice	Contract Killing
Web Knit Miter	Priest of the Sacred Web
Webbed Helm of Fear	Arachnophobia
Webbed Wrists	Webshot Sniper
Webguard's Gauntlets	Nazhk Webguard
Websong Gloves	Incubation Slave
Webstuck Sabotons	Woeful Webbing
Welder's Ruin Mask	Junk Welder
Well Shoed Army	Wailing Rider
Wellspring Harp	Wellspring
Whisper Taker	Moment of Glory
Whistle Wraps	Dynamo Whistle
White Carapace	Winter Widow
White Hat of the Sorcerer	Mindwrack Sorcerer
Widget	Mesmeric Chant
Wig of the Magistrate	Timestep Magistrate
Wiktor's Spoil	Captured Flag
Wiley Chest	Halt
Will of the Dragon	The Wrath of Zakiir
Wind Charm Gloves	Cyclone Rider
Wind Throwers	Mentor of the Wind
Wind Walkers	Windspeaker
Windup Widget	Warpsteel Widget
Wing Brushed Gauntlets	Guardian Angel
Winged Alloy Helm	Pterobot
Winged Walkers	Lightning Brave
Winter Coat	Blizzard
Winter Hat	Chilltail Guide
Winter Storm Guards	Vexstorm
Wisdom's Band	Angel of Foresight
Wishy Wand	Witch of the Wishing Well
Wooden Bident	Nerissa
Woodland Sandals	Gossamer Tears
Wrathwood Mitts	Wrathwood Colossus
Wreath of Thorns	Moldmass
Wrenlocke's Chestplate	Archmage Wrenlocke
Writer's Guard	Decree of Banishing
Wyldeboots	Stampeding Wyldeboar
Wyldebracers	Stampeding Wyldeboar
Wyrmskin Sandals	Lorenzo the Wyrmsinger
Xocoy's Double-bladed Axe	Xocoy, High Cleric
Yellow Sign Cowl	Gaze of Hastur
Yeti Bustier	Mama Yeti
Yeti Motivator	Chained Peak Yeti
Yetiproof Skullcage	Yetigeddon
Yule Log	Yule Tide
Zealot's Skull	Brutal Commander
Zoltog's Chestplate	Zoltog
